Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP_per_Capita,Family,Health_Life_Expectancy,Freedom,Trust_Government_Corruption,Generosity,Dystopia_Residual,Year
Finland,Western Europe,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,2.584999999999999,2018
Norway,Western Europe,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286,2.3830000000000013,2018
Denmark,Western Europe,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,2.371,2018
Iceland,Western Europe,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,2.426,2018
Switzerland,Western Europe,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,2.3180000000000005,2018
Netherlands,Western Europe,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333,2.4479999999999995,2018
Canada,North America,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2.305,2018
New Zealand,Australia and New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,2.1559999999999997,2018
Sweden,Western Europe,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285,2.218,2018
Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2.139,2018
United Kingdom,Western Europe,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,2.817000000000001,2018
Austria,Western Europe,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2.3199999999999994,2018
Costa Rica,Latin America and Caribbean,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,2.9099999999999997,2018
Ireland,Western Europe,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,1.8430000000000004,2018
Germany,Western Europe,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2.151,2018
Belgium,Western Europe,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2.214999999999999,2018
Luxembourg,Western Europe,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,1.7690000000000003,2018
United States,North America,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291,2.2270000000000003,2018
Israel,Middle East and Northern Africa,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,1.9119999999999997,2018
United Arab Emirates,Middle East and Northern Africa,20,6.774,2.096,0.776,0.67,0.284,,0.186,,2018
Czech Republic,Central and Eastern Europe,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,2.494,2018
Malta,Western Europe,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,1.7850000000000006,2018
France,Western Europe,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2.0279999999999996,2018
Mexico,Latin America and Caribbean,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069,2.794,2018
Chile,Latin America and Caribbean,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2.5169999999999995,2018
Taiwan,Eastern Asia,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2.1359999999999997,2018
Panama,Latin America and Caribbean,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125,2.336,2018
Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2.593,2018
Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2.4170000000000003,2018
Guatemala,Latin America and Caribbean,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,2.871,2018
Uruguay,Latin America and Caribbean,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,2.1460000000000004,2018
Qatar,Middle East and Northern Africa,32,6.374,1.649,1.303,0.748,0.654,0.171,0.256,1.5929999999999995,2018
Saudi Arabia,Middle East and Northern Africa,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2.2940000000000014,2018
Singapore,Southeastern Asia,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261,1.0059999999999996,2018
Malaysia,Southeastern Asia,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,2.508,2018
Spain,Western Europe,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142,1.8909999999999998,2018
Colombia,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2.5569999999999995,2018
Trinidad and Tobago,Latin America and Caribbean,38,6.192,1.223,1.492,0.564,0.575,0.019,0.171,2.148,2018
Slovakia,Central and Eastern Europe,39,6.173,1.21,1.537,0.776,0.354,0.014,0.118,2.1640000000000006,2018
El Salvador,Latin America and Caribbean,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,2.883,2018
Nicaragua,Latin America and Caribbean,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208,2.5909999999999993,2018
Poland,Central and Eastern Europe,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108,2.0000000000000004,2018
Bahrain,Middle East and Northern Africa,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,1.743000000000001,2018
Uzbekistan,Central and Eastern Europe,44,6.096,0.719,1.584,0.605,0.724,0.259,0.328,1.8770000000000007,2018
Kuwait,Middle East and Northern Africa,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167,1.8059999999999996,2018
Thailand,Southeastern Asia,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364,1.9020000000000006,2018
Italy,Western Europe,47,6.0,1.264,1.501,0.946,0.281,0.028,0.137,1.8430000000000004,2018
Ecuador,Latin America and Caribbean,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,2.2279999999999998,2018
Belize,Latin America and Caribbean,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2.709,2018
